,city_name,area,id_x,id_y,fee
130,深圳,20,2.0,67,134700.0
131,深圳,25,1.0,9,100000.0
132,深圳,30,2.0,36,404369.0
133,深圳,38,1.0,1,110880.0
134,深圳,50,2.0,12,634000.0
135,深圳,100,1.0,11,864497.96
136,福州,0,2.0,13,2300.0
137,福州,1,4.0,23,19900.0
138,福州,2,4.0,19,32150.0
139,福州,5,1.0,3,14000.0
140,西安,0,19.0,272,50342.6
141,西安,1,20.0,324,116904.5
142,西安,2,11.0,182,190586.59
143,西安,3,2.0,106,95387.4
144,西安,4,2.0,50,45758.62
145,西安,5,2.0,43,35904.0
146,西安,6,2.0,29,37272.0
147,西安,7,1.0,15,115836.73
148,西安,8,1.0,19,29562.56
149,西安,20,1.0,21,149029.32
150,郑州,1,1.0,15,2000.0
151,重庆,0,11.0,89,40090.0
152,重庆,1,22.0,223,191080.98
153,重庆,2,8.0,116,102314.0
154,重庆,3,4.0,84,61739.6
155,重庆,4,1.0,30,31738.0
156,重庆,5,2.0,32,141709.15
157,重庆,6,1.0,24,102507.6
158,重庆,7,2.0,8,95583.82
159,重庆,8,2.0,16,65940.0
160,重庆,9,3.0,4,139166.55
161,重庆,10,1.0,29,95000.0
162,重庆,20,1.0,14,1500.0
163,长沙,0,2.0,10,5100.0
