city,date,id
杭州,2018-04-09,241421
深圳,2018-04-09,241422
上海,2018-04-09,241423
北京,2018-04-09,241424
上海,2018-04-09,241425
北京,2018-04-09,241426
广州,2018-04-09,241427
上海,2018-04-09,241428
北京,2018-04-09,241429
成都,2018-04-09,241430
杭州,2018-04-09,241431
北京,2018-04-09,241432
杭州,2018-04-09,241433
深圳,2018-04-09,241434
杭州,2018-04-09,241435
深圳,2018-04-09,241436
上海,2018-04-09,241437
上海,2018-04-09,241438
上海,2018-04-09,241439
北京,2018-04-09,241440
武汉,2018-04-09,241441
北京,2018-04-09,241442
北京,2018-04-09,241443
上海,2018-04-09,241444
上海,2018-04-09,241446
北京,2018-04-09,241447
北京,2018-04-09,241448
深圳,2018-04-09,241449
武汉,2018-04-09,241450
北京,2018-04-09,241453
上海,2018-04-09,241454
上海,2018-04-09,241455
上海,2018-04-09,241457
深圳,2018-04-09,241458
北京,2018-04-09,241459
北京,2018-04-09,241460
北京,2018-04-09,241461
上海,2018-04-09,241462
深圳,2018-04-09,241463
深圳,2018-04-09,241465
上海,2018-04-09,241466
上海,2018-04-09,241467
上海,2018-04-09,241468
深圳,2018-04-09,241469
深圳,2018-04-09,241470
北京,2018-04-09,241471
杭州,2018-04-09,241472
北京,2018-04-09,241473
广州,2018-04-09,241474
成都,2018-04-09,241475
成都,2018-04-09,241476
深圳,2018-04-09,241477
深圳,2018-04-09,241478
北京,2018-04-09,241479
北京,2018-04-09,241480
北京,2018-04-09,241481
上海,2018-04-09,241482
上海,2018-04-09,241484
上海,2018-04-09,241485
深圳,2018-04-09,241486
广州,2018-04-09,241487
武汉,2018-04-09,241488
深圳,2018-04-09,241489
上海,2018-04-09,241492
西安,2018-04-09,241493
上海,2018-04-09,241494
广州,2018-04-09,241495
北京,2018-04-09,241496
广州,2018-04-09,241497
北京,2018-04-09,241498
北京,2018-04-09,241499
深圳,2018-04-09,241500
广州,2018-04-09,241501
北京,2018-04-09,241502
上海,2018-04-09,241503
成都,2018-04-09,241505
上海,2018-04-09,241506
北京,2018-04-09,241509
北京,2018-04-09,241510
北京,2018-04-09,241511
深圳,2018-04-09,241512
北京,2018-04-09,241515
北京,2018-04-09,241516
北京,2018-04-09,241517
北京,2018-04-09,241518
天津,2018-04-09,241520
深圳,2018-04-09,241521
北京,2018-04-09,241522
杭州,2018-04-09,241523
北京,2018-04-09,241524
武汉,2018-04-09,241525
上海,2018-04-09,241527
成都,2018-04-09,241528
广州,2018-04-09,241529
北京,2018-04-09,241531
南京,2018-04-09,241532
上海,2018-04-09,241533
深圳,2018-04-09,241535
上海,2018-04-09,241536
武汉,2018-04-09,241537
杭州,2018-04-09,241538
上海,2018-04-09,241539
上海,2018-04-09,241540
