keywordId,onepv_uvc,mt_uvc,mt_pvc,uvc,pvc,sum(sr.impression),sum(sr.click),sum(sr.uv),sum(sr.pv),sum(sr.vppv),sum(sr.cost),avg(sr.position),terminal,subcategory,keyword,sc
47665205501,3.0,,,3,3,63,3,3,3,3,35.64,1.040555556,2.0,1.0,南山大冲商务中心,3
47665205534,1.0,,,1,1,3,1,1,1,1,7.08,1.0,2.0,1.0,宝安金福来大厦,1
47665205576,5.0,1.0,2.0,6,7,37,8,6,7,7,63.18,1.0,2.0,1.0,南山创维大厦,8
47665205606,2.0,,,2,2,11,2,2,2,2,18.95,1.0,2.0,1.0,罗湖名仕阁,2
47665205618,3.0,1.0,2.0,4,5,35,6,4,5,4,49.33,1.0,2.0,1.0,龙岗金融大厦,6
47665205630,2.0,1.0,2.0,3,4,26,5,3,4,3,48.2,1.285714286,2.0,1.0,罗湖水产大厦,5
47665205636,1.0,,,1,1,23,1,1,1,1,11.33,1.0,2.0,1.0,罗湖文华大厦,1
47665205660,1.0,,,1,1,18,1,1,1,1,2.63,1.0,2.0,1.0,罗湖金丰城,1
47665205672,2.0,,,2,2,13,2,2,2,2,8.04,1.0,2.0,1.0,龙华新区荣群大厦,2
47665205705,3.0,,,3,3,116,3,3,3,2,37.27,1.656785714,2.0,1.0,福田万科金色家园,3
47665205714,1.0,,,1,1,7,1,1,1,1,7.77,1.0,2.0,1.0,南山濠盛商务中心,1
47665205717,4.0,3.0,10.0,7,14,165,8,7,14,13,49.66,1.082142857,2.0,1.0,南山西丽工业区,8
47665205723,2.0,2.0,4.0,4,6,62,4,4,6,5,29.38,1.710454545,2.0,1.0,龙岗2013文化创客园,4
47665205750,1.0,,,1,1,10,1,1,1,1,7.95,1.0,2.0,1.0,龙华新区嘉安达大厦,1
47665205753,4.0,,,4,4,19,3,4,4,4,20.95,1.090909091,2.0,1.0,罗湖金通大厦,3
47665205762,1.0,,,1,1,5,1,1,1,1,8.99,1.0,2.0,1.0,福田航都大厦,1
47665205783,6.0,3.0,7.0,9,13,178,10,9,13,11,65.42,1.048571429,2.0,1.0,罗湖世界金融中心,10
47665205795,1.0,,,1,1,21,2,1,1,1,24.68,1.055555556,2.0,1.0,福田鲁班大厦,2
47665205801,2.0,1.0,2.0,3,4,29,3,3,4,4,19.1,2.055555556,2.0,1.0,罗湖金融中心大厦,3
47665205807,1.0,,,1,1,60,1,1,1,1,4.79,1.101304348,2.0,1.0,罗湖 发展中心大厦,1
47665205819,2.0,,,2,2,21,2,2,2,2,17.78,1.363636364,2.0,1.0,南山东方科技大厦,2
47665205822,1.0,,,1,1,3,1,1,1,1,5.86,1.33,2.0,1.0,福田苍松大厦,1
47665205828,3.0,,,3,3,23,3,3,3,3,26.88,1.0,2.0,1.0,南山长城大厦,3
47665205834,2.0,,,2,2,39,2,2,2,2,14.88,1.090909091,2.0,1.0,罗湖嘉里中心深圳,2
47665205855,7.0,,,7,7,339,10,7,7,6,143.41,1.045333333,2.0,1.0,龙岗海关大厦,10
47665205894,1.0,1.0,2.0,2,3,11,3,2,3,2,20.72,1.0,2.0,1.0,罗湖太阳岛大厦,3
47665205903,1.0,1.0,4.0,2,5,19,2,2,5,3,11.96,1.517,2.0,1.0,南山赛百诺大厦,2
47665205912,1.0,,,1,1,16,1,1,1,1,7.1,1.39625,2.0,1.0,福田嘉麟豪庭,1
47665205936,5.0,1.0,3.0,6,8,76,8,6,8,7,51.19,1.028846154,2.0,1.0,福田湖北大厦,8
47665205966,1.0,,,1,1,8,1,1,1,1,6.62,1.066,2.0,1.0,福田福安大厦,1
47665206002,2.0,,,2,2,19,2,2,2,2,0.65,1.0,2.0,1.0,福田彩虹大厦,2
47665206017,3.0,,,3,3,27,3,3,3,3,25.11,1.0,2.0,1.0,南山南园枫叶大厦,3
47665206029,1.0,,,1,1,44,1,1,1,1,12.71,1.055555556,2.0,1.0,福田金地工业区,1
47665206032,1.0,,,1,1,24,1,1,1,1,5.39,1.232142857,2.0,1.0,福田泰然工业区,1
47665206038,1.0,,,1,1,4,1,1,1,1,11.3,1.666666667,2.0,1.0,南山生产力大楼,1
47665206044,3.0,1.0,2.0,4,5,44,5,5,12,9,47.08,1.013888889,2.0,1.0,罗湖国贸商业大厦,5
47665206050,3.0,,,3,3,29,3,3,3,3,15.95,1.0,2.0,1.0,南山新能源大厦,3
47665206053,1.0,,,1,1,5,1,1,1,1,6.26,1.0,2.0,1.0,龙华新区卫东龙商务大厦,1
47665206059,5.0,,,5,5,89,5,5,5,5,36.98,1.041666667,2.0,1.0,罗湖天安国际大厦,5
47665206071,2.0,,,2,2,71,2,2,2,2,25.38,1.1936,2.0,1.0,南山科兴科学园,2
47665206089,,1.0,4.0,1,4,4,1,1,4,3,8.63,1.0,2.0,1.0,福田赛格科技园,1
47665206101,5.0,,,5,5,44,4,5,5,5,26.09,1.0,2.0,1.0,南山a8音乐大厦,4
47665206125,1.0,,,1,1,10,1,1,1,1,11.17,1.0,2.0,1.0,福田安徽大厦,1
47665206131,2.0,,,2,2,19,3,2,2,2,18.72,1.15,2.0,1.0,福田云松大厦,3
47665206155,1.0,,,1,1,15,1,1,1,1,7.91,1.071428571,2.0,1.0,福田现代国际大厦,1
47665206164,2.0,1.0,2.0,3,4,144,3,3,4,4,32.53,1.099230769,2.0,1.0,南山软件产业基地,3
47665206167,1.0,,,1,1,35,1,1,1,1,13.02,1.078235294,2.0,1.0,福田卓越大厦,1
47665206176,1.0,,,1,1,17,1,1,1,1,8.91,1.3,2.0,1.0,福田国际商会大厦,1
47665206179,1.0,,,1,1,21,1,1,1,1,8.91,1.725,2.0,1.0,福田英龙商务中心,1
47665206206,2.0,,,2,2,4,2,2,2,2,10.11,1.0,2.0,1.0,福田本元大厦,2
47665206209,,1.0,2.0,1,2,6,2,1,2,1,16.06,1.166666667,2.0,1.0,福田地铁大厦,2
47665206230,1.0,,,1,1,1,1,1,1,1,5.71,1.0,2.0,1.0,福田京基滨河时代大厦,1
47665206251,2.0,,,2,2,39,2,2,2,1,11.25,1.275,2.0,1.0,福田海鹰大厦,2
47665206260,1.0,,,1,1,25,2,1,1,1,11.36,1.153846154,2.0,1.0,罗湖建设集团大厦,2
47665206314,1.0,1.0,2.0,2,3,21,2,2,3,3,19.69,1.0,2.0,1.0,龙岗旭源大厦,2
47665206320,2.0,,,2,2,10,3,2,2,2,22.43,1.125,2.0,1.0,罗湖海洋大厦,3
47665206326,1.0,,,1,1,6,1,1,1,1,6.4,1.25,2.0,1.0,南山田寮大厦,1
47665206344,5.0,,,5,5,532,8,5,5,5,76.26,1.703870968,2.0,1.0,南山民企科技园,8
47665206353,3.0,1.0,5.0,4,8,54,3,4,8,6,32.82,1.0,2.0,1.0,罗湖中建大厦,3
47665206398,2.0,,,2,2,7,2,2,2,2,18.97,1.0,2.0,1.0,宝安华丰国际商务大厦,2
